26:12:010301:2864,31.9
26:12:010301:2895,78.2
26:12:010301:3019,24.6
26:12:010301:2676,80
26:12:010301:3003,15.5
26:12:010301:2674,31.4
26:12:010301:2990,38.3
26:12:010301:2689,35
26:12:010301:2977,31.5
26:12:010301:2696,60.1
26:12:010301:2701,31.5
26:12:010301:2706,79.4
26:12:010301:3053,54.4
26:12:010301:2693,54.9
26:12:010301:2629,54.4
26:12:010301:2724,30.7
26:12:010301:2636,79.2
26:12:010301:2633,34.3
26:12:010301:2785,86.7
26:12:010301:3051,59.8
26:12:010301:2667,30.8
26:12:010301:3052,35
26:12:010301:2648,59.8
26:12:010301:2647,30.9
26:12:010301:2781,34.8
26:12:010301:2626,30.9
26:12:010301:2659,54.3
26:12:010301:2632,78.6
26:12:010301:2792,59.6
26:12:010301:2661,30.9
26:12:010301:2651,79.3
26:12:010301:2644,54.7
26:12:010301:2628,78.7
26:12:010301:2774,78.7
26:12:010301:2624,30.7
26:12:010301:2806,54
26:12:010301:2796,59
26:12:010301:2641,78.8
26:12:010301:2646,59.2
26:12:010301:2782,54.1
26:12:010301:2993,29.9
26:12:010301:2654,54
26:12:010301:2777,34.6
26:12:010301:2981,33.8
26:12:010301:2808,34.6
26:12:010301:2733,34.6
26:12:010301:2743,58.8
26:12:010301:3004,33.3
26:12:010301:2766,30.8
26:12:010301:2967,32.5
26:12:010301:2985,32.9
26:12:010301:2750,34.7
26:12:010301:3406,4.6
26:12:010301:2834,58.7
26:12:010301:2844,30.8
26:12:010301:2845,78.5
26:12:010301:2832,53.4
26:12:010301:3393,17.5
26:12:010301:2757,78.9
26:12:010301:2851,34.7
26:12:010301:2763,59.3
26:12:010301:2850,59
26:12:010301:3397,3.1
26:12:010301:2849,30.9
26:12:010301:3419,4.7
26:12:010301:3372,4.7
26:12:010301:2799,30.7
26:12:010301:2758,34.6
26:12:010301:2756,53.7
26:12:010301:3394,21
26:12:010301:2747,4.8
26:12:010301:2843,78.6
26:12:010301:2761,53.2
26:12:010301:2804,4.8
26:12:010301:2736,53.8
26:12:010301:2734,78.9
26:12:010301:3361,18.9
26:12:010301:2765,59
26:12:010301:2848,78.8
26:12:010301:3421,4.7
26:12:010301:3379,24.4
26:12:010301:2767,78.4
26:12:010301:2797,34.4
26:12:010301:3353,36.9
26:12:010301:2801,30.7
26:12:010301:2768,34.2
26:12:010301:2772,78.4
26:12:010301:2749,53.7
26:12:010301:3369,36.8
26:12:010301:2599,32.1
26:12:010301:3367,16.9
26:12:010301:2769,53.8
26:12:010301:2605,35.2
26:12:010301:2745,30.7
26:12:010301:2773,59
26:12:010301:2771,58.7
26:12:010301:2795,34.4
